S20, 5
S19, Blotteritem, {'party2': 'B22', 'party1': 'S19', 'price': 98.0, 'qty': 1, 'time': 505.44999999967723, 'type': 'Trade'}
S19, Blotteritem, {'party2': 'B35', 'party1': 'S19', 'price': 98.0, 'qty': 1, 'time': 534.2249999997521, 'type': 'Trade'}
S19, Blotteritem, {'party2': 'B22', 'party1': 'S19', 'price': 98.0, 'qty': 1, 'time': 572.4749999998912, 'type': 'Trade'}
S18, 20
S18, Blotteritem, {'party2': 'S18', 'party1': 'B18', 'price': 96.0, 'qty': 1, 'time': 3.700000000000019, 'type': 'Trade'}
S18, Blotteritem, {'party2': 'S18', 'party1': 'B35', 'price': 101, 'qty': 1, 'time': 60.68750000000524, 'type': 'Trade'}
S18, Blotteritem, {'party2': 'B23', 'party1': 'S18', 'price': 98.66666666666667, 'qty': 1, 'time': 75.67500000000864, 'type': 'Trade'}
S18, Blotteritem, {'party2': 'B23', 'party1': 'S18', 'price': 101.33333333333333, 'qty': 1, 'time': 98.13750000001374, 'type': 'Trade'}
S18, Blotteritem, {'party2': 'B32', 'party1': 'S18', 'price': 96.17341529915832, 'qty': 1, 'time': 142.70000000000715, 'type': 'Trade'}
S18, Blotteritem, {'party2': 'B31', 'party1': 'S18', 'price': 96.07707346629259, 'qty': 1, 'time': 182.82499999997066, 'type': 'Trade'}
S18, Blotteritem, {'party2': 'B36', 'party1': 'S18', 'price': 97.6241426611797, 'qty': 1, 'time': 194.3249999999602, 'type': 'Trade'}
S18, Blotteritem, {'party2': 'B28', 'party1': 'S18', 'price': 96.49382716049384, 'qty': 1, 'time': 223.124999999934, 'type': 'Trade'}
S18, Blotteritem, {'party2': 'B31', 'party1': 'S18', 'price': 96.0877914951989, 'qty': 1, 'time': 261.599999999899, 'type': 'Trade'}
S18, Blotteritem, {'party2': 'B30', 'party1': 'S18', 'price': 97.48148148148148, 'qty': 1, 'time': 297.4624999998664, 'type': 'Trade'}
S18, Blotteritem, {'party2': 'B35', 'party1': 'S18', 'price': 96.66666666666667, 'qty': 1, 'time': 303.0749999998613, 'type': 'Trade'}
S18, Blotteritem, {'party2': 'S18', 'party1': 'B23', 'price': 108.0, 'qty': 1, 'time': 345.43749999982276, 'type': 'Trade'}
S18, Blotteritem, {'party2': 'B29', 'party1': 'S18', 'price': 102.0, 'qty': 1, 'time': 374.1124999997967, 'type': 'Trade'}
S18, Blotteritem, {'party2': 'S18', 'party1': 'B35', 'price': 106, 'qty': 1, 'time': 412.1124999997621, 'type': 'Trade'}
S18, Blotteritem, {'party2': 'B35', 'party1': 'S18', 'price': 97.41373571101965, 'qty': 1, 'time': 438.59999999973803, 'type': 'Trade'}
S18, Blotteritem, {'party2': 'B37', 'party1': 'S18', 'price': 101.33333333333333, 'qty': 1, 'time': 471.2999999997083, 'type': 'Trade'}
S18, Blotteritem, {'party2': 'B30', 'party1': 'S18', 'price': 97.55555555555556, 'qty': 1, 'time': 504.44999999967814, 'type': 'Trade'}
S18, Blotteritem, {'party2': 'S18', 'party1': 'B20', 'price': 100, 'qty': 1, 'time': 532.8624999997471, 'type': 'Trade'}
S18, Blotteritem, {'party2': 'B39', 'party1': 'S18', 'price': 104.19444444444444, 'qty': 1, 'time': 558.6124999998408, 'type': 'Trade'}
S18, Blotteritem, {'party2': 'B21', 'party1': 'S18', 'price': 96.14451274929861, 'qty': 1, 'time': 580.6249999999209, 'type': 'Trade'}
B38, 5
B38, Blotteritem, {'party2': 'S08', 'party1': 'B38', 'price': 96, 'qty': 1, 'time': 481.81249999969873, 'type': 'Trade'}
B38, Blotteritem, {'party2': 'S04', 'party1': 'B38', 'price': 103, 'qty': 1, 'time': 498.29999999968373, 'type': 'Trade'}
B38, Blotteritem, {'party2': 'B38', 'party1': 'S24', 'price': 111.0, 'qty': 1, 'time': 525.5124999997204, 'type': 'Trade'}
B38, Blotteritem, {'party2': 'B38', 'party1': 'S28', 'price': 121.0, 'qty': 1, 'time': 564.437499999862, 'type': 'Trade'}
B38, Blotteritem, {'party2': 'B38', 'party1': 'S26', 'price': 118.88888888888889, 'qty': 1, 'time': 584.1999999999339, 'type': 'Trade'}
B39, 5
B39, Blotteritem, {'party2': 'B39', 'party1': 'S19', 'price': 98.0, 'qty': 1, 'time': 481.537499999699, 'type': 'Trade'}
B39, Blotteritem, {'party2': 'S12', 'party1': 'B39', 'price': 102, 'qty': 1, 'time': 484.56249999969623, 'type': 'Trade'}
B39, Blotteritem, {'party2': 'B39', 'party1': 'S13', 'price': 86.0, 'qty': 1, 'time': 540.4999999997749, 'type': 'Trade'}
B39, Blotteritem, {'party2': 'B39', 'party1': 'S18', 'price': 104.19444444444444, 'qty': 1, 'time': 558.6124999998408, 'type': 'Trade'}
B39, Blotteritem, {'party2': 'B39', 'party1': 'S22', 'price': 106.0, 'qty': 1, 'time': 583.5499999999315, 'type': 'Trade'}
S38, 0
B34, 5
